[04-04-2025 17:54:26] DEBUG: ENTERING DEBUG MODE
[04-04-2025 17:54:26] INFO: GUI application fully initialized.
[04-04-2025 17:54:31] DEBUG: numOfInputNodes: 4
[04-04-2025 17:54:32] DEBUG: numOfHiddenNodes: 4
[04-04-2025 17:54:33] DEBUG: numOfOutputNodes: 1
[04-04-2025 17:56:06] DEBUG: numOfTrainingCycles: 200
[04-04-2025 17:56:11] DEBUG: learningRate: 0.1
[04-04-2025 17:56:13] DEBUG: learningRate: 0.01
[04-04-2025 17:56:15] DEBUG: learningRate: 0.01
[04-04-2025 17:56:16] DEBUG: learningRate: 0.01
[04-04-2025 17:56:16] DEBUG: learningRate: 0.01
[04-04-2025 17:56:20] DEBUG: gradientDescentTrainEnabled
[04-04-2025 17:56:21] INFO: Differential neural network created with 4 input neurons, 4 hidden neurons, and 1 output neurons. LearnRate: 0.01, epochs: 200
[04-04-2025 17:56:21] INFO: Neural Network created! Stats listed below.
   Training method           : gradientDescent
   Number of input neurons   : 4
   Number of hidden neurons  : 4
   Number of output neurons  : 1
   Number of training cycles : 200
   Learning Rate             : 0.01
[04-04-2025 17:56:29] DEBUG: filePath = test-data/banknote-auth/minmax-normalized.csv/
[04-04-2025 17:57:37] INFO: Training started with 200 epochs.
Epoch 102 Loss: 0.030045361349874258
Epoch 103 Loss: 0.02979265419590376
Epoch 104 Loss: 0.029547633960966477
Epoch 105 Loss: 0.029309942301266975
Epoch 106 Loss: 0.029079242318011768
Epoch 107 Loss: 0.02885521708179921
Epoch 108 Loss: 0.028637568267208292
Epoch 109 Loss: 0.028426014888885767
Epoch 110 Loss: 0.028220292131182774
Epoch 111 Loss: 0.028020150263997175
Epoch 112 Loss: 0.027825353638112667
Epoch 113 Loss: 0.02763567975384256
Epoch 114 Loss: 0.02745091839731206
Epoch 115 Loss: 0.027270870839141103
Epoch 116 Loss: 0.02709534909074367
Epoch 117 Loss: 0.02692417521382858
Epoch 118 Loss: 0.026757180679029057
Epoch 119 Loss: 0.02659420576994934
Epoch 120 Loss: 0.026435099029167405
Epoch 121 Loss: 0.026279716743054
Epoch 122 Loss: 0.026127922462469658
Epoch 123 Loss: 0.02597958655668525
Epoch 124 Loss: 0.025834585798029008
Epoch 125 Loss: 0.02569280297499713
Epoch 126 Loss: 0.025554126531727443
Epoch 127 Loss: 0.025418450231889992
Epoch 128 Loss: 0.025285672845217842
Epoch 129 Loss: 0.025155697855032615
Epoch 130 Loss: 0.025028433185230056
Epoch 131 Loss: 0.02490379094533361
Epoch 132 Loss: 0.024781687192310883
